Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Brazil,2023,40-44 years,Both,Nutritional deficiencies,"Deaths per 100,000",0.5749419564704218,0.5057765716240316,0.6569145481985466
All Population,Brazil,2023,45-49 years,Both,Nutritional deficiencies,"Deaths per 100,000",0.788570328193709,0.6905823407624307,0.9305001220941091
All Population,Brazil,2023,50-54 years,Both,Nutritional deficiencies,"Deaths per 100,000",1.1056668645925416,0.9720606163148117,1.2820692119772517
All Population,Brazil,2023,55-59 years,Both,Nutritional deficiencies,"Deaths per 100,000",1.4707638297414145,1.2952572042290098,1.743530242876465
All Population,Brazil,2023,60-64 years,Both,Nutritional deficiencies,"Deaths per 100,000",2.2132988217433214,1.9126611994264788,2.657246515968239
All Population,Brazil,2023,65-69 years,Both,Nutritional deficiencies,"Deaths per 100,000",3.607863557590117,3.0687629528923552,4.259699571937768
All Population,Brazil,2023,70-74 years,Both,Nutritional deficiencies,"Deaths per 100,000",6.8407559985120185,5.898281096863384,7.937883564906226
All Population,Brazil,2023,75-79 years,Both,Nutritional deficiencies,"Deaths per 100,000",13.070447275429606,11.151182229844776,15.182214805393318
All Population,Brazil,2023,80-84 years,Both,Nutritional deficiencies,"Deaths per 100,000",26.206951959656617,21.28772923798304,30.246210716773884
All Population,Brazil,2023,85-89 years,Both,Nutritional deficiencies,"Deaths per 100,000",54.28763259239201,41.6625776356092,62.35729454120899
All Population,Brazil,2023,90-94 years,Both,Nutritional deficiencies,"Deaths per 100,000",104.25876933141095,77.64873072105722,121.13420822255283
All Population,Brazil,2023,95+ years,Both,Nutritional deficiencies,"Deaths per 100,000",163.75766469748444,112.8838579895563,195.8101097492177
All Population,Brazil,2023,0-6 days,Both,Neoplasms,"Deaths per 100,000",17.036801922521896,15.62819165017016,18.465698024453825
All Population,Brazil,2023,7-27 days,Both,Neoplasms,"Deaths per 100,000",5.51607626730534,4.814751375974138,6.150014039687882
All Population,Brazil,2023,1-5 months,Both,Neoplasms,"Deaths per 100,000",4.151724550846591,3.7067033251831516,4.735453320604367
All Population,Brazil,2023,6-11 months,Both,Neoplasms,"Deaths per 100,000",2.6794269725076787,2.1703085103230904,3.1627495449516734
All Population,Brazil,2023,12-23 months,Both,Neoplasms,"Deaths per 100,000",4.810163031475265,3.9790733733065995,5.6233771045426755
All Population,Brazil,2023,2-4 years,Both,Neoplasms,"Deaths per 100,000",5.337398534735274,4.505557689798194,6.327971337964682
All Population,Brazil,2023,5-9 years,Both,Neoplasms,"Deaths per 100,000",4.844933388834208,4.222093851080863,5.512904768642545
All Population,Brazil,2023,10-14 years,Both,Neoplasms,"Deaths per 100,000",4.666511522696857,4.093384855155257,5.222728348800047
All Population,Brazil,2023,15-19 years,Both,Neoplasms,"Deaths per 100,000",5.929434538476084,5.434619463487209,6.490772279781531
All Population,Brazil,2023,20-24 years,Both,Neoplasms,"Deaths per 100,000",8.07171728353328,7.511446603899983,8.52172758365437
All Population,Brazil,2023,25-29 years,Both,Neoplasms,"Deaths per 100,000",12.403273375022632,11.580674992146438,13.352456509916927
All Population,Brazil,2023,30-34 years,Both,Neoplasms,"Deaths per 100,000",19.90356373696731,18.616191293433154,21.293668037843062
All Population,Brazil,2023,35-39 years,Both,Neoplasms,"Deaths per 100,000",31.216760818913635,29.483676399674703,33.16123159571413
All Population,Brazil,2023,40-44 years,Both,Neoplasms,"Deaths per 100,000",51.66874668845359,49.51506187248467,54.03933553147747
All Population,Brazil,2023,45-49 years,Both,Neoplasms,"Deaths per 100,000",85.22477363134698,81.67995397846694,89.07360269195074
